person,rank,title,img_url,uniqid,job
Pedro Almodóvar,75,Amour,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/cw0ik5bfl7.jpg,cw0ik5bfl7,directors
Pedro Almodóvar,37,Call Me by Your Name,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/fczzolmsc8.jpg,fczzolmsc8,directors
Pedro Almodóvar,16,"Crouching Tiger, Hidden Dragon",https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/061nzpgfe9.jpg,061nzpgfe9,directors
Pedro Almodóvar,999,Dogtooth,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/v1rlnsr58m.jpg,v1rlnsr58m,directors
Pedro Almodóvar,999,Ida,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/bq8csxk331.jpg,bq8csxk331,directors
Pedro Almodóvar,999,La ciénaga,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/f01571ae70.jpg,f01571ae70,directors
Pedro Almodóvar,25,Phantom Thread,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/8sbk4yhene.jpg,8sbk4yhene,directors
Pedro Almodóvar,46,Roma,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/sytbcvl6i1.jpg,sytbcvl6i1,directors
Pedro Almodóvar,999,Ten,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/40wjtqj7pt.jpg,40wjtqj7pt,directors
Pedro Almodóvar,59,Toni Erdmann,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/r2dbf4z2d6.jpg,r2dbf4z2d6,directors
Pamela Anderson,41,Amélie,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/nwhul8q9po.jpg,nwhul8q9po,actors
Pamela Anderson,999,Blue Valentine,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/pu6m9vdo1y.jpg,pu6m9vdo1y,actors
Pamela Anderson,999,Invisible Life,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/5cfd9fa43f.jpg,5cfd9fa43f,actors
Pamela Anderson,30,Lost in Translation,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/wpqdt02atj.jpg,wpqdt02atj,actors
Pamela Anderson,999,Requiem for a Dream,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/6wu9mzund7.jpg,6wu9mzund7,actors
Pamela Anderson,22,The Grand Budapest Hotel,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/3lzvrdy9io.jpg,3lzvrdy9io,actors
Pamela Anderson,999,The Lobster,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/sjv6fq66zv.jpg,sjv6fq66zv,actors
Pamela Anderson,999,The Party,https://static01.nyt.com/newsgraphics/movie-survey-2025/img/300/73a0bd5de8.jpg,73a0bd5de8,actors
